iter	Logloss
0	0.681788006
1	0.6703770604
2	0.6601898688
3	0.6500638838
4	0.6408549594
5	0.632189618
6	0.6241140094
7	0.6180465549
8	0.6097144799
9	0.6026140331
10	0.5949076221
11	0.589528156
12	0.5831702652
13	0.577484191
14	0.5721680756
15	0.5674393522
16	0.5631842223
17	0.5586016769
18	0.5537579133
19	0.550211829
20	0.5456451138
21	0.5420054717
22	0.5387057751
23	0.535128896
24	0.5315706204
25	0.5275547947
26	0.5243602737
27	0.5212754223
28	0.5186592816
29	0.5161704171
30	0.5131404884
31	0.5100232651
32	0.5076322591
33	0.5052425989
34	0.5036167863
35	0.5006132497
36	0.49820317
37	0.4959722863
38	0.4938854997
39	0.4915646616
40	0.4899675983
41	0.4883913127
42	0.4870041601
43	0.4852408157
44	0.4838731091
45	0.4823009915
46	0.4806854014
47	0.4792272329
48	0.4776801599
49	0.4761615552
50	0.4747444934
51	0.4735227834
52	0.4719415869
53	0.4711412932
54	0.4699808556
55	0.4690176118
56	0.4681564658
57	0.4670657809
58	0.4659111288
59	0.4647514905
60	0.4638837486
61	0.4630398313
62	0.4622147138
63	0.4610829375
64	0.4602246234
65	0.4595205215
66	0.4584432895
67	0.4575510723
68	0.4568086576
69	0.455931609
70	0.4551136636
71	0.4543795116
72	0.4536677748
73	0.4531169315
74	0.4526602311
75	0.4518455496
76	0.4513451362
77	0.4507328021
78	0.4501561179
79	0.4492667321
80	0.4486871345
81	0.4478872118
82	0.4474497106
83	0.4468363654
84	0.4464630064
85	0.4460175183
86	0.4456871385
87	0.4451628295
88	0.4445797619
89	0.4441410239
90	0.4436441261
91	0.4429840289
92	0.442677699
93	0.4422419702
94	0.4418337524
95	0.4414691842
96	0.4410588183
97	0.440772677
98	0.4403495588
99	0.4399737906
100	0.4395185534
101	0.4393391862
102	0.4389690318
103	0.4386646583
104	0.4382928473
105	0.4378781531
106	0.4374284594
107	0.4369540434
108	0.4366342475
109	0.4363921946
110	0.4360250048
111	0.4357192209
112	0.4353474792
113	0.4350668631
114	0.4347958521
115	0.434337013
116	0.4341683135
117	0.4336015034
118	0.4333273206
119	0.433043089
120	0.4326695319
121	0.4324243191
122	0.4321244058
123	0.431788477
124	0.4314236989
125	0.4311831182
126	0.4309122988
127	0.4306420625
128	0.4303938866
129	0.4302029946
130	0.4299383893
131	0.4297416115
132	0.4295720853
133	0.4292815123
134	0.429097792
135	0.4288719333
136	0.4286864405
137	0.4284091177
138	0.4282063939
139	0.4279921459
140	0.4278260423
141	0.4276179634
142	0.427531419
143	0.4273556
144	0.4271497767
145	0.4270324942
146	0.4269045211
147	0.4267483467
148	0.426535111
149	0.4262708727
150	0.4261168646
151	0.4259952993
152	0.4257903291
153	0.4255240341
154	0.4253546722
155	0.4250945
156	0.4249974118
157	0.4248537451
158	0.4245465473
159	0.4242790191
160	0.4239848832
161	0.4237525806
162	0.423608807
163	0.4233213847
164	0.4231574629
165	0.4229454677
166	0.4228546816
167	0.4226114034
168	0.422436624
169	0.4222555483
170	0.4220561486
171	0.4218895807
172	0.4216292314
173	0.4215016808
174	0.4212658894
175	0.421058003
176	0.4209340561
177	0.4208509185
178	0.4207026713
179	0.4205431609
180	0.4204333302
181	0.4202913091
182	0.4200927423
183	0.4199632754
184	0.4198721983
185	0.4197612454
186	0.4196602303
187	0.4195164958
188	0.419417561
189	0.4192561052
190	0.4190997061
191	0.4189352569
192	0.4187714353
193	0.4186189266
194	0.4184570067
195	0.4183192669
196	0.4182320247
197	0.418150488
198	0.4179811164
199	0.4178231125
200	0.4177195184
201	0.4176261548
202	0.4174550269
203	0.4173103658
204	0.4171706163
205	0.4169215947
206	0.4167590082
207	0.4165012266
208	0.4163924482
209	0.4161975103
210	0.416078262
211	0.4159407287
212	0.4158303467
213	0.4157305503
214	0.4155953559
215	0.4155227282
216	0.4154062395
217	0.4152795409
218	0.4152077857
219	0.415073157
220	0.4149137466
221	0.4147424498
222	0.4145917299
223	0.4145006091
224	0.4144133221
225	0.4143179642
226	0.4141707394
227	0.4141085618
228	0.4140209335
229	0.4139728046
230	0.4139109964
231	0.4137955596
232	0.4136457866
233	0.413561446
234	0.4134061262
235	0.4132444506
236	0.4131538467
237	0.4130606552
238	0.4129177346
239	0.4128253849
240	0.4126774185
241	0.4125446834
242	0.4124418799
243	0.4122974154
244	0.4121824097
245	0.4120497381
246	0.4119353856
247	0.4118509455
248	0.4117158329
249	0.4115944199
250	0.4114698419
251	0.4113280778
252	0.4112373761
253	0.4111639286
254	0.4110468181
255	0.4108873243
256	0.4108356562
257	0.4106522321
258	0.4104278969
259	0.4103474951
260	0.410213258
261	0.4100560629
262	0.4099614717
263	0.4099159843
264	0.4098451451
265	0.4097601002
266	0.4096999231
267	0.4095818601
268	0.4093800621
269	0.4093140705
270	0.4092409508
271	0.4091161865
272	0.4090459842
273	0.4088791228
274	0.4087400957
275	0.4086567227
276	0.4085872135
277	0.4083859603
278	0.4082117993
279	0.4081259621
280	0.4080471189
281	0.4079826568
282	0.4078525957
283	0.4077756147
284	0.4076579731
285	0.4076358011
286	0.4076270479
287	0.4074844791
288	0.4073783016
289	0.4072731807
290	0.4071922501
291	0.4071044676
292	0.4069659475
293	0.4069164124
294	0.4067780768
295	0.4065480343
296	0.4064297204
297	0.4063635534
298	0.406278383
